job_index,job_id,seed,horizon,model,script,output_directory,command
145,seed007_horizon09_STG_Informer,7,9,STG-Informer,seed007_horizon09_stg_informer.py,STG_seed7_horizon9,python seed007_horizon09_stg_informer.py
146,seed007_horizon09_G_Informer,7,9,G-Informer,seed007_horizon09_g_informer.py,G_seed7_horizon9,python seed007_horizon09_g_informer.py
147,seed007_horizon09_ST_Informer,7,9,ST-Informer,seed007_horizon09_st_informer.py,ST_seed7_horizon9,python seed007_horizon09_st_informer.py
148,seed007_horizon09_Informer,7,9,Informer,seed007_horizon09_informer.py,Informer_seed7_horizon9,python seed007_horizon09_informer.py
149,seed007_horizon09_GRU,7,9,GRU,seed007_horizon09_gru.py,GRU_seed7_horizon9,python seed007_horizon09_gru.py
150,seed007_horizon09_Transformer,7,9,Transformer,seed007_horizon09_transformer.py,Transformer_seed7_horizon9,python seed007_horizon09_transformer.py
151,seed007_horizon09_ConvLSTM,7,9,ConvLSTM,seed007_horizon09_convlstm.py,ConvLSTM_seed7_horizon9,python seed007_horizon09_convlstm.py
152,seed007_horizon09_CNN_LSTM,7,9,CNN-LSTM,seed007_horizon09_cnn_lstm.py,CNN-LSTM_seed7_horizon9,python seed007_horizon09_cnn_lstm.py
153,seed007_horizon12_STG_Informer,7,12,STG-Informer,seed007_horizon12_stg_informer.py,STG_seed7_horizon12,python seed007_horizon12_stg_informer.py
154,seed007_horizon12_G_Informer,7,12,G-Informer,seed007_horizon12_g_informer.py,G_seed7_horizon12,python seed007_horizon12_g_informer.py
155,seed007_horizon12_ST_Informer,7,12,ST-Informer,seed007_horizon12_st_informer.py,ST_seed7_horizon12,python seed007_horizon12_st_informer.py
156,seed007_horizon12_Informer,7,12,Informer,seed007_horizon12_informer.py,Informer_seed7_horizon12,python seed007_horizon12_informer.py
157,seed007_horizon12_GRU,7,12,GRU,seed007_horizon12_gru.py,GRU_seed7_horizon12,python seed007_horizon12_gru.py
158,seed007_horizon12_Transformer,7,12,Transformer,seed007_horizon12_transformer.py,Transformer_seed7_horizon12,python seed007_horizon12_transformer.py
159,seed007_horizon12_ConvLSTM,7,12,ConvLSTM,seed007_horizon12_convlstm.py,ConvLSTM_seed7_horizon12,python seed007_horizon12_convlstm.py
160,seed007_horizon12_CNN_LSTM,7,12,CNN-LSTM,seed007_horizon12_cnn_lstm.py,CNN-LSTM_seed7_horizon12,python seed007_horizon12_cnn_lstm.py
161,seed099_horizon01_STG_Informer,99,1,STG-Informer,seed099_horizon01_stg_informer.py,STG_seed99_horizon1,python seed099_horizon01_stg_informer.py
162,seed099_horizon01_G_Informer,99,1,G-Informer,seed099_horizon01_g_informer.py,G_seed99_horizon1,python seed099_horizon01_g_informer.py
163,seed099_horizon01_ST_Informer,99,1,ST-Informer,seed099_horizon01_st_informer.py,ST_seed99_horizon1,python seed099_horizon01_st_informer.py
164,seed099_horizon01_Informer,99,1,Informer,seed099_horizon01_informer.py,Informer_seed99_horizon1,python seed099_horizon01_informer.py
165,seed099_horizon01_GRU,99,1,GRU,seed099_horizon01_gru.py,GRU_seed99_horizon1,python seed099_horizon01_gru.py
166,seed099_horizon01_Transformer,99,1,Transformer,seed099_horizon01_transformer.py,Transformer_seed99_horizon1,python seed099_horizon01_transformer.py
167,seed099_horizon01_ConvLSTM,99,1,ConvLSTM,seed099_horizon01_convlstm.py,ConvLSTM_seed99_horizon1,python seed099_horizon01_convlstm.py
